tanggal,Ayam Boiler,Ayam Kampung,Bawang Merah (Medium),Bawang Putih Impor Honan,Bawang Putih Impor Kating,Beras Medium,Cabai Merah Besar,Cabai Merah Kriting,Cabai Rawit Hijau,Cabai Rawit Merah,Daging Sapi Impor Beku,Daging Sapi Lokal Daging Has Luar (Sirloin),Daging Sapi Lokal Daging Sandung Lamur (Brisket),Daging Sapi Lokal Daging Tetelan,Daging Sapi Lokal Has Dalam,Daging Sapi Lokal Paha Belakang,Garam Beryodium Bata,Garam Beryodium Halus,Gula Pasir,Ikan Kembung,Ikan Teri Asin,Indomie Rasa Kari Ayam,Jagung Pipilan Kecil,Kacang Hijau,Kacang Kedelai Eks Impor,Kacang Kedelai Lokal,Kacang Tanah,Ketela Pohon,Minyak Goreng Bimoli Botol,Minyak Goreng Curah,Susu Bubuk Kaleng Merk Bendera,Susu Bubuk Kaleng Merk Indomilk,Susu Kental Manis Kaleng Merk Bendera,Susu Kental Manis Kaleng Merk Indomilk,Telur Ayam Kampung,Telur Ayam Ras,Tepung Terigu Segitiga Biru
2018-01-02,39740,55075,26800,25000,28560,11340,37260,37140,34800,56240,120000,118333,89167,70833,143333,117660,3220,11260,13740,36660,109400,2740,16833,22340,12300,3333,25500,5060,14040,12388,43667,42000,12340,10300,2100,26150,10160
2018-01-03,38940,55075,27800,25000,30260,11440,37260,38640,35300,58240,120000,117500,89167,75000,141667,117660,3320,10660,13840,35660,108400,2740,16833,22540,12300,3333,25700,5060,14240,12450,43667,42000,12240,10400,2150,26200,10360
2018-01-04,37440,53825,28400,27500,28660,11490,39260,39340,41400,61140,120000,118333,95000,80000,146667,117660,3000,13060,13390,35860,106000,2740,16833,22540,12050,3333,25600,5060,14240,12575,43667,42000,11940,10600,2100,26300,9860
2018-01-05,36940,78825,27900,27500,28960,11740,40260,42340,40400,57340,120000,120000,102500,76667,146667,119660,3100,11260,13640,35360,102000,2800,15167,23200,12800,3333,25700,4960,14040,12200,43667,42000,11940,10300,2120,26450,9610
2018-01-08,36940,77575,27900,27500,28960,11740,40260,42340,40400,57340,120000,120000,102500,76667,146667,119660,3120,11460,13640,35360,102000,2400,15167,23200,12800,3333,25700,4960,13440,12200,43667,42000,11940,10300,2120,26450,9610
2018-01-09,37300,82100,28100,28500,28340,11480,39340,38600,38440,54340,120000,116667,95000,81667,143333,117660,3520,12300,13540,36660,105200,2320,15167,23340,12175,3667,26300,4900,13400,12625,44167,42500,11960,10440,2110,26260,9840
2018-01-10,36260,84000,28040,28500,27140,11620,40040,42860,35540,48660,120000,120000,98333,65833,143333,118660,3720,12660,13600,37660,100660,2360,15167,23340,12375,3667,25600,4800,13640,12300,44167,42400,12060,10300,2160,26000,9900
2018-01-11,38260,79250,27340,28500,27940,11620,42340,46860,37040,53660,120000,120000,101667,70000,143333,119660,3920,11460,13600,37660,101660,2360,15500,22940,12500,3667,25500,4800,13340,12363,44167,42400,11660,10300,2110,25900,10000
2018-01-12,36260,88000,25640,26000,27440,11520,41040,44360,38340,49160,120000,120000,96667,73333,142500,119660,3720,11360,13700,37660,100960,2360,15500,22240,12000,3667,25700,4800,13440,12300,44167,42400,11610,10300,2160,25700,9900
2018-01-15,37460,85767,27600,25500,28960,12240,41040,44140,42400,56740,120000,121667,101667,70000,148333,119660,3780,13100,14040,37800,107660,2400,15567,22660,12050,3667,25360,4740,13510,12625,44667,43067,12060,10700,2040,25760,10040
2018-01-16,37140,81233,25940,27500,28840,12260,41360,44860,38200,54260,120000,121667,98333,80000,148333,119660,3220,10900,13860,36660,105940,2380,15100,22740,12050,4000,25100,4800,13490,12500,44100,42433,12460,10700,1980,25400,10040
2018-01-17,37540,79675,24140,22500,27340,11710,40860,42860,42200,53260,120000,120000,90000,90000,146667,119660,3420,11100,13560,35660,103940,2380,15100,21740,11675,4000,24700,4800,13490,12500,44100,42433,12760,10700,2020,24900,9440
2018-01-18,37240,74250,25940,22500,28200,10663,46040,48200,42760,53760,70000,121667,93333,83333,131667,119660,3510,11960,13540,38860,108040,2400,15500,23040,12550,11000,24700,4800,13560,12613,43667,42433,11790,10140,2100,24000,10240
2018-01-19,38140,80667,26360,27500,28600,10925,45540,42000,43440,54800,70000,116667,91667,70000,148333,117660,3360,10600,13660,36660,108800,2380,15500,21800,12050,11500,24700,4740,13410,12300,44100,42567,12460,10140,2090,23960,9800
2018-01-22,37940,80075,26240,22500,28340,11038,46000,45840,41600,51160,85000,120000,96667,66667,150000,119660,3760,13260,13750,38300,111000,2380,15333,22800,13175,12000,25560,4800,13500,12875,44100,42567,11940,10340,2060,23800,10140
2018-01-23,36440,80075,26240,25000,30440,10975,49000,47340,45600,50660,85000,123333,100000,78333,145000,119660,4100,11760,14000,39000,109000,2380,15333,22400,13800,12000,26260,4800,13500,12500,44100,42567,11940,10440,2110,23800,10790
2018-01-24,37040,80075,23240,22500,26840,11100,48000,44140,47100,48660,85000,120000,105000,63333,148333,119660,3760,10760,13900,37800,108000,2380,15333,21400,12175,12000,24860,4800,13400,12500,44100,42567,11840,10140,2160,23600,9940
